City, ISO_3166_code
Berlin, DE
Madrid, ES
Rome, IT
Bucharest, RO
Paris, FR
Vienna, AT
Warsaw, PL
Hamburg, DE
Budapest, HU
Barcelona, ES
Munich, DE
Prague, CZ
Milan, IT
Sofia, BG
Cologne, DE
Stockholm, SE
Amsterdam, NL
Naples, IT
Marseille, FR
Turin, IT
Kraków, PL
Valencia, ES
Zagreb, HR
Frankfurt, DE
Seville, ES
Wrocław, PL
Zaragoza, ES
Helsinki, FI
Rotterdam, NL
Łódź, PL
Copenhagen, DK
Athens, GR
Palermo, IT
Stuttgart, DE
Dusseldorf, DE
Riga, LV
Leipzig, DE
Gothenburg, SE
Dublin, IE
Dortmund, DE
Vilnius, LT
Essen, DE
Malaga, ES
Bremen, DE
The Hague, NL
Genoa, IT
Dresden, DE
Lisbon, PT
Poznań, PL
Antwerp, BE
